occurrence_shops,occurrence_amenities,distribution_shop,distribution_amenities,proximity_shops,proximity_amenities,proximity_transport,correlation_shops_amenities
4,74,-0.16369044101587,-0.0342817933156387,237.446199504625,411.892023917564,NA,0.0540540540540541
0,68,NA,-0.0252283955267392,NA,441.255971015312,NA,0
0,9,NA,-0.0911747680801015,NA,523.425991371606,NA,0
0,10,NA,NA,NA,241.186682114438,NA,0
36,207,-0.0274398675991883,-0.111483889641635,502.814964737731,440.177064285391,NA,0.173913043478261
49,258,-0.0140361104036274,-0.0458049269382812,457.928706560673,368.838924402617,NA,0.189922480620155
8,88,-0.565245480231173,-0.0459396213695823,208.077972921605,338.035699850764,NA,0.0909090909090909
0,40,NA,-0.0339850063985215,NA,368.844119393136,NA,0
10,34,NA,-0.181005190609892,454.906988251156,385.737643740396,NA,0.294117647058824
0,11,NA,NA,NA,433.489253327838,NA,0
2,82,NA,-0.21541043336622,444.964690025585,397.872418802859,NA,0.024390243902439
0,48,NA,NA,NA,334.951337346281,NA,0
0,16,NA,-0.428643077014705,NA,490.526347434003,NA,0
0,7,NA,-0.322238002434728,NA,341.870218983922,NA,0
0,16,NA,-0.399030515208139,NA,420.121214308632,NA,0
0,49,NA,-0.275928955325573,NA,389.988927497442,NA,0
0,21,NA,-0.40719919506016,NA,486.854054195442,NA,0
2,21,NA,-0.786511424443877,494.351025552926,396.812705055066,NA,0.0952380952380952
0,39,NA,NA,NA,435.710194006376,NA,0
0,24,NA,-0.338167180573094,NA,192.624654096274,NA,0
4,45,NA,-0.159493843764215,466.163185570561,334.494680835685,NA,0.0888888888888889
0,9,NA,NA,NA,507.018105363665,NA,0
0,0,NA,NA,NA,NA,NA,NA
25,37,-0.104328304394885,-0.177523497279362,465.988718133554,433.54413861306,NA,0.675675675675676
0,23,NA,-0.146385386786842,NA,378.614524931392,NA,0
0,8,NA,NA,NA,436.022478116375,NA,0
0,30,NA,NA,NA,354.428369096382,NA,0
3,2,-0.347612186623158,NA,482.119127030999,495.582510704814,NA,1.5
14,60,NA,-0.0143242323505304,461.737829535297,394.684416677917,NA,0.233333333333333
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,2,NA,NA,NA,470.601453432955,NA,0
0,19,NA,NA,NA,343.967622860012,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,26,NA,NA,NA,341.504814061744,NA,0
0,20,NA,NA,NA,408.613577176523,NA,0
0,28,NA,-0.0511942038409813,NA,353.399726452224,NA,0
1,17,NA,-0.305668355657176,487.954079097625,435.530069036949,NA,0.0588235294117647
8,37,NA,NA,451.079491525136,218.365005475988,NA,0.216216216216216
1,60,NA,-0.0483461635962424,511.605485045342,494.686854129535,NA,0.0166666666666667
12,81,-0.0873267865661578,-0.0538015743698061,471.213248099002,353.273929318296,NA,0.148148148148148
0,1,NA,NA,NA,424.626573040773,NA,0
0,13,NA,-0.141387452434762,NA,366.626136404283,NA,0
7,63,NA,-0.182798929474652,534.121530036571,379.453137594155,NA,0.111111111111111
2,71,NA,-0.0255540779533112,355.68716929368,339.539844093168,NA,0.028169014084507
17,112,-0.145696644942419,-0.0897320437497808,314.282996901088,280.22391926835,NA,0.151785714285714
0,1,NA,NA,NA,463.930194713261,NA,0
0,63,NA,-0.103140581970748,NA,488.990408815569,NA,0
4,253,-0.340657710723971,-0.06524270995217,340.995045076316,401.554577805289,NA,0.0158102766798419
1,23,NA,-0.415832917659283,378.017213455024,441.709541863848,NA,0.0434782608695652
32,49,-0.0310473136890554,-0.143515154159513,313.102808616344,344.661944748035,NA,0.653061224489796
12,165,-0.139947182071562,-0.35830694729302,296.797013115499,320.265725183817,NA,0.0727272727272727
51,168,-0.140969948187359,-0.0649760173572727,323.521134909176,356.446801448748,NA,0.303571428571429
0,16,NA,-0.0381863311735794,NA,419.451551676234,NA,0
0,44,NA,-0.137047224411263,NA,421.219634530967,NA,0
19,170,-0.369447662730845,-0.0383750312260749,405.376770532462,337.044007623059,444.374415922607,0.111764705882353
4,56,-0.881681648433893,-0.212249447548141,516.434707200604,321.720821544271,NA,0.0714285714285714
1,159,NA,-0.193010321137196,309.655486629245,358.723996796035,NA,0.00628930817610063
0,15,NA,-0.0691259201881433,NA,517.296389627518,NA,0
0,41,NA,-0.553122117792082,NA,430.360921232455,NA,0
0,34,NA,-0.325307438743885,NA,422.289297079701,NA,0
18,61,-0.55298074246567,-0.0306364357580153,444.68893223785,408.566510792053,NA,0.295081967213115
67,130,-0.292179584766201,-0.0877724141331981,371.119368538944,320.663820759911,NA,0.515384615384615
22,129,-0.084604608247959,-0.0883872405614444,421.419424627417,380.253620790041,NA,0.170542635658915
3,57,NA,-0.0868073176771734,413.792956688952,415.921867771255,NA,0.0526315789473684
22,74,-0.169487915525527,-0.245100519165872,202.123004796982,370.998309471849,NA,0.297297297297297
4,26,-0.383289590870358,-0.107360355511537,466.393353618412,436.002742886916,NA,0.153846153846154
0,109,NA,-0.32581076424804,NA,350.958606431482,NA,0
0,6,NA,NA,NA,485.539281227973,NA,0
11,30,-0.315292899316724,-0.0417016375238836,310.618065653465,287.738888010902,NA,0.366666666666667
9,44,-0.117508558872982,-0.19043462556111,446.145155508031,246.192535969825,NA,0.204545454545455
6,41,-0.247350253036161,-0.0464326907084091,267.441386824993,299.078478345254,NA,0.146341463414634
0,23,NA,-0.435026236403795,NA,507.666937460117,NA,0
0,82,NA,-0.0729379941276554,NA,355.363370283715,NA,0
5,45,NA,-0.0448468643694623,475.123375654678,403.987660307897,NA,0.111111111111111
0,0,NA,NA,NA,NA,NA,NA
2,23,NA,-0.0532222410039307,521.512950149493,390.217873871579,NA,0.0869565217391304
4,20,-0.519588982467496,-0.646640829420394,516.182711084351,366.457771393313,NA,0.2
0,2,NA,NA,NA,511.810342609155,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,27,NA,-0.188542697993882,NA,325.076740998733,NA,0
0,26,NA,-0.666024363600431,NA,364.454344229319,NA,0
2,49,NA,-0.161270364457077,412.264366895766,395.419067442179,NA,0.0408163265306122
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,12,NA,-0.595519561440165,NA,341.568552654446,NA,0
11,39,-0.168809089082536,-0.123401313032334,293.924931725192,374.350650079736,NA,0.282051282051282
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
24,26,NA,-0.252347717598577,418.851649078187,376.438404135924,NA,0.923076923076923
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,1,NA,NA,NA,378.233742871727,NA,0
7,40,NA,-0.287998961686557,154.532528324809,307.704708592298,NA,0.175
3,114,NA,-0.0322497177774738,315.880920946299,304.802666759895,NA,0.0263157894736842
6,68,NA,-0.222191566277803,146.236141954592,360.394874487068,NA,0.0882352941176471
