occurrence_shops_500m,occurrence_amenities_500m,occurrence_shops,occurrence_amenities,occurrence_junctions_5000m,occurrence_highways_5000m,distribution_shop,distribution_amenities,distribution_shop_500ms,distribution_amenities_500m,proximity_shops_500m,proximity_amenities_500m,proximity_shops,proximity_amenities,proximity_transport_500m,proximity_junction_5km,proximity_highway_5km,correlation_shops_amenities
569,988,64,10,0,595,-0.0285855886668147,-0.20036052477818,-0.0271542532654429,-0.0461420002017389,222.065519836858,295.411643759541,40.4283583232955,30.2518256719384,NA,NA,3216.78458918135,6.4
114,275,17,18,1,19,-0.0518978902778043,-0.0399999926118977,-0.0647200720168922,-0.0100318647049709,241.613869782667,297.08600398038,60.0143871456058,55.2138499675416,170.672875843137,5074.52548812725,4555.6668570009,0.944444444444444
67,411,29,8,6,68,-0.0337914210759547,-0.574549596275948,-0.229603375842395,-0.0260123771743183,185.267436046177,321.029328336021,51.8528755586164,64.1626284626019,NA,3989.70510032255,4075.67830494627,3.625
48,186,31,1,17,126,NA,NA,-0.0344712213939692,-0.0391740637960582,174.958916682675,412.945923604879,81.4135656704418,62.669853202997,NA,3609.09046751468,3433.07779976424,31
297,634,38,12,5,407,-0.0298405421440566,-0.278382875699147,-0.0676495573560587,-0.0152600083643191,398.544423346678,464.781614959536,179.027820258736,114.085720520244,457.115645036107,3391.77819018544,3489.0140685219,3.16666666666667
523,1197,104,30,21,296,-0.0568201936420473,-0.0595144152070521,-0.0168134036250375,-0.0277281208333267,343.810224394797,333.336644664348,68.0537376168584,84.9341093531729,340.353243146797,3003.25824182318,3362.49618564065,3.46666666666667
57,366,40,35,1,181,-0.0291660738741178,-0.219085377501865,-0.20229951407683,-0.00869878179652089,134.888910720965,304.142274841193,83.7361929688027,63.178054293417,NA,4950.11307586147,2872.41443304923,1.14285714285714
121,464,60,4,7,305,-0.017407375396383,-0.53165840573482,-0.0774007902289736,-0.0288347008094998,181.692888226312,369.364977981059,75.6155069403704,108.839403649509,NA,4017.36642766629,3552.20397176456,15
723,2184,322,141,0,609,-0.0351248594683643,-0.0455344560785888,-0.0270798511829605,-0.0204396664188029,187.007344240914,318.407483091059,39.124196056723,41.106296715483,342.179686404664,NA,2962.26142304008,2.28368794326241
2331,3537,21,18,0,597,-0.0828456766766857,-0.145159686781848,-0.0360652335490954,-0.020148905213211,397.666446180479,362.402341681889,50.5942119676782,46.7423317375528,349.046898108602,NA,3170.45148604032,1.16666666666667
155,344,87,31,6,43,-0.00896842913864709,NA,-0.0646370755331452,-0.046758773473156,271.028410800187,372.349372739498,114.704879463327,119.434516596447,NA,3224.78967341304,2785.87367533051,2.80645161290323
83,227,32,8,7,117,-0.0186133500729175,-0.263309390919516,-0.037284740839772,-0.0415264890341384,252.81904724208,366.298338865918,88.0792640653907,92.1281432813403,NA,2477.69119038512,2206.31092166287,4
201,439,72,4,0,88,-0.040866662062513,-0.316264398535265,-0.0448437822130026,-0.0713906119955954,230.666189236808,368.134758259463,124.040171596045,185.247190046827,NA,NA,2767.53428948834,18
97,340,29,14,11,427,-0.0785081748970937,-0.232836715839896,-0.0791444795347219,-0.0241362211053325,272.739227166904,285.210161615001,52.352703508938,38.2512820293459,116.817015322427,4372.66454241979,3140.99072722482,2.07142857142857
259,696,5,4,0,321,NA,-0.283025543395722,-0.0163588818454949,-0.0619386770037793,350.232254086577,361.382725010381,28.0907792357442,23.1892424508545,NA,NA,3008.03343001121,1.25
4,13,4,0,6,38,NA,NA,NA,-0.0900467410972064,21.6419852486251,408.057905000868,21.6419852486251,NA,NA,3582.95560658889,3450.85133178804,NA
1118,1225,52,18,0,570,-0.0310403008957264,-0.0650705656940039,-0.00595988840434444,-0.0149462950864113,288.210579667746,335.024121598596,23.1855400393606,19.3720094459264,47.6485274674494,NA,3052.40694898268,2.88888888888889
350,1038,51,6,0,531,-0.0222989165358586,-0.146106880164127,-0.0056061184144522,-0.0171542114194427,335.333071271157,374.414147207286,43.4011970336081,42.3175073537099,306.172299050795,NA,3191.04233922136,8.5
446,1120,27,12,21,275,-0.0319495909935163,-0.111301748365332,-0.0232264459238562,-0.0353971820046295,335.051995290327,316.952729069803,43.6159650243719,30.0608413830549,395.486029915089,3018.59027208862,3283.32089684129,2.25
41,261,27,14,10,75,-0.0441896286584348,-0.162211802201354,-0.117159019088042,-0.0327074009412675,142.632139528126,290.542733009998,40.0423351695596,48.3206919166562,145.937563389786,3054.92690433605,3377.70828048791,1.92857142857143
492,1064,258,127,20,325,-0.0130614274981789,-0.0589797328837918,-0.00942159768468371,-0.014875326854794,288.089605357735,460.330137951553,120.678367484911,116.110212113763,330.70324617188,2897.08303122772,3353.99960612306,2.03149606299213
260,361,20,2,1,45,-0.177188217323184,NA,-0.0253999532855577,-0.0161761879699774,270.746742028714,333.01764504009,36.9393216610788,8.77970292273814,NA,4743.58428278789,3138.69917897182,10
246,328,21,4,2,48,NA,NA,-0.0309445918435158,-0.0587559472205337,274.20250687435,367.329106158337,66.7000252438565,56.0156465626668,NA,4761.46746007703,3443.02282043551,5.25
284,421,122,24,1,48,-0.0217512185916099,-0.0736170687414397,-0.0404831877394242,-0.0337865360002565,219.753396402503,362.728835377665,106.493951220877,123.631038884792,NA,4691.10545960127,3364.7130400275,5.08333333333333
312,508,14,0,14,169,NA,NA,-0.0701126433899228,-0.0190747462568264,161.066395169644,315.637274205248,47.8582593254176,NA,NA,2543.67247044471,2607.48220917296,NA
390,619,20,2,1,447,-0.146653053722484,NA,-0.0428329720794152,-0.0195543552208156,242.936440964411,277.977056037387,24.3963430855692,25.8908812818288,72.4332579520823,3005.04359723079,3330.33271956476,10
1366,1587,140,29,0,179,-0.0495218093235181,-0.506885734192694,-0.00970642910281267,-0.0127906771475932,264.339226403741,382.590665617556,103.150857967659,106.01664858933,NA,NA,3063.54572429574,4.82758620689655
